Player,AuctionBid,AuctionWinnerFranchise
"Achane, De'Von MIA RB",$34.00 ,Zucker Punch
"Adams, Davante LVR WR",$170.00 ,Zucker Punch
"Addison, Jordan MIN WR",$66.00 ,That Says Addidas
"Agholor, Nelson BAL WR",$2.00 ,S3XY 420 69 (Ted)
"Aiyuk, Brandon SFO WR",$112.00 ,Elon-gate your neck on the block (Jamie)
"Akers, Cam MIN RB",$84.00 ,That Says Addidas
"Akins, Jordan CLE TE",$1.00 ,Henry VIII (Dan S)
"Alie-Cox, Mo IND TE",$1.00 ,Zucker Punch
"Allen, Josh BUF QB",$401.00 ,Judd Galaxy (Keaton)
"Allen, Keenan LAC WR",$126.00 ,Just Ken
"Allgeier, Tyler ATL RB",$28.00 ,That Says Addidas
"Andrews, Mark BAL TE",$221.00 ,Just Ken
"Arnold, Dan FA TE",$1.00 ,Musk taps Zuck (Kirk)
"Atwell, Tutu LAR WR",$11.00 ,Marie Antoinette never actually said “Let Them Eat Cake” (Nick)
"Austin III, Calvin PIT WR",$2.00 ,Marie Antoinette never actually said “Let Them Eat Cake” (Nick)
"Barkley, Saquon NYG RB",$175.00 ,Spencer Wareo (Matt)
"Bateman, Rashod BAL WR",$36.00 ,Marie Antoinette never actually said “Let Them Eat Cake” (Nick)
"Bates, John WAS TE",$1.00 ,Judd Galaxy (Keaton)
"Beckham, Odell BAL WR",$36.00 ,Marie Antoinette never actually said “Let Them Eat Cake” (Nick)
"Bell, David CLE WR",$2.00 ,We Didn't Start the Fire
"Bellinger, Daniel NYG TE",$3.00 ,S3XY 420 69 (Ted)
"Berrios, Braxton MIA WR",$2.00 ,Xecutioner (Rob)
"Bigsby, Tank JAC RB",$45.00 ,Spencer Wareo (Matt)
"Blackshear, Raheem CAR RB",$2.00 ,Franchise 2 (Pierce)
"Bourne, Kendrick NEP WR",$4.00 ,The Josh Dobbs Invitational Roster (Andy)
"Boutte, Kayshon NEP WR",$6.00 ,S3XY 420 69 (Ted)
"Boyd, Tyler CIN WR",$41.00 ,Xecutioner (Rob)
"Breida, Matt NYG RB",$2.00 ,Judd Galaxy (Keaton)
"Brissett, Jacoby WAS QB",$8.00 ,Eat the rich
"Brown, A.J. PHI WR",$191.00 ,The Josh Dobbs Invitational Roster (Andy)
"Brown, Marquise ARI WR",$67.00 ,Too Many Cooks (Brett)
"Brown, Noah HOU WR",$1.00 ,Judd Galaxy (Keaton)
"Brownlee, Jason NYJ WR",$1.00 ,The Twits (Shane)
"Burks, Treylon TEN WR",$41.00 ,Elon-gate your neck on the block (Jamie)
"Burrow, Joe CIN QB",$330.00 ,S3XY 420 69 (Ted)
"Callaway, Marquez FA WR",$1.00 ,Ol JVW
"Campbell, Parris NYG WR",$12.00 ,That Says Addidas
"Carr, Derek NOS QB",$184.00 ,That Says Addidas
"Carter, Michael NYJ RB",$16.00 ,Judd Galaxy (Keaton)
"Chandler, Ty MIN RB",$14.00 ,Eat the rich
"Charbonnet, Zach SEA RB",$37.00 ,Spencer Wareo (Matt)
"Chark, D.J. CAR WR",$61.00 ,The Josh Dobbs Invitational Roster (Andy)
"Chase, Ja'Marr CIN WR",$220.00 ,The Twits (Shane)
"Chosen, Robbie MIA WR",$1.00 ,Zucker Punch
"Chubb, Nick CLE RB",$165.00 ,The Twits (Shane)
"Claypool, Chase CHI WR",$34.00 ,Judd Galaxy (Keaton)
"Clement, Corey ARI RB",$1.00 ,Won't be here after week 1 (Danny H)
"Clifford, Sean GBP QB",$1.00 ,Solyan FC (Stephen)
"Cobb, Randall NYJ WR",$1.00 ,Franchise 2 (Pierce)
"Collins, Nico HOU WR",$30.00 ,Eat the rich
"Conklin, Tyler NYJ TE",$36.00 ,Henry VIII (Dan S)
"Conner, James ARI RB",$77.00 ,That Says Addidas
"Cook, Dalvin NYJ RB",$50.00 ,X Marks The Spot (Tom)
"Cook, James BUF RB",$120.00 ,Spencer Wareo (Matt)
"Cooks, Brandin DAL WR",$94.00 ,Henry VIII (Dan S)
"Cooper, Amari CLE WR",$86.00 ,The Twits (Shane)
"Cousins, Kirk MIN QB",$262.00 ,Musk taps Zuck (Kirk)
"Dallas, DeeJay SEA RB",$1.00 ,We Didn't Start the Fire
"Darnold, Sam SFO QB",$1.00 ,Musk taps Zuck (Kirk)
"Davis, Corey FA WR",$11.00 ,Judd Galaxy (Keaton)
"Davis, Gabriel BUF WR",$80.00 ,Won't be here after week 1 (Danny H)
"Davis, Malik FA RB",$7.00 ,Won't be here after week 1 (Danny H)
"Dell, Tank HOU WR",$33.00 ,Eat the rich
"Diggs, Stefon BUF WR",$185.00 ,Spencer Wareo (Matt)
"Dillon, AJ GBP RB",$45.00 ,Elon-gate your neck on the block (Jamie)
"Dissly, Will SEA TE",$3.00 ,X Æ A-Xii (Sean)
"Dobbins, J.K. BAL RB",$101.00 ,The Twits (Shane)
"Dortch, Greg ARI WR",$23.00 ,X Marks The Spot (Tom)
"Dotson, Jahan WAS WR",$85.00 ,The Josh Dobbs Invitational Roster (Andy)
"Doubs, Romeo GBP WR",$31.00 ,Xecutioner (Rob)
"Douglas, Demario NEP WR",$1.00 ,Zucker Punch
"Dowdle, Rico DAL RB",$2.00 ,Just Ken
"Downs, Josh IND WR",$7.00 ,Too Many Cooks (Brett)
"Drake, Kenyan BAL RB",$1.00 ,We Didn't Start the Fire
"Dulcich, Greg DEN TE",$19.00 ,Elon-gate your neck on the block (Jamie)
"Duvernay, Devin BAL WR",$19.00 ,S3XY 420 69 (Ted)
"Edmonds, Chase TBB RB",$15.00 ,X Æ A-Xii (Sean)
"Edwards, Gus BAL RB",$51.00 ,Marie Antoinette never actually said “Let Them Eat Cake” (Nick)
"Edwards-Helaire, Clyde KCC RB",$18.00 ,That Says Addidas
"Ekeler, Austin LAC RB",$205.00 ,Musk taps Zuck (Kirk)
"Elliott, Ezekiel NEP RB",$25.00 ,X Marks The Spot (Tom)
"Engram, Evan JAC TE",$94.00 ,Xecutioner (Rob)
"Ertz, Zach ARI TE",$29.00 ,That Says Addidas
"Etienne, Travis JAC RB",$152.00 ,We Didn't Start the Fire
"Evans, Chris CIN RB",$7.00 ,Solyan FC (Stephen)
"Evans, Mike TBB WR",$102.00 ,Solyan FC (Stephen)
"Evans, Zach LAR RB",$6.00 ,We Didn't Start the Fire
"Everett, Gerald LAC TE",$16.00 ,The Twits (Shane)
"Fant, Noah SEA TE",$16.00 ,That Says Addidas
"Ferguson, Jake DAL TE",$10.00 ,The Twits (Shane)
"Fields, Justin CHI QB",$360.00 ,Ol JVW
"Flowers, Zay BAL WR",$101.00 ,Solyan FC (Stephen)
"Ford, Jerome CLE RB",$12.00 ,Ol JVW
"Foreman, D'Onta CHI RB",$22.00 ,Eat the rich
"Fournette, Leonard FA RB",$8.00 ,Xecutioner (Rob)
"Freiermuth, Pat PIT TE",$93.00 ,Franchise 2 (Pierce)
"Gage, Russell TBB WR",$6.00 ,Too Many Cooks (Brett)
"Gainwell, Kenneth PHI RB",$46.00 ,The Twits (Shane)
"Gallup, Michael DAL WR",$30.00 ,Won't be here after week 1 (Danny H)
"Garoppolo, Jimmy LVR QB",$154.00 ,Won't be here after week 1 (Danny H)
"Gaskin, Myles FA RB",$3.00 ,S3XY 420 69 (Ted)
"Gesicki, Mike NEP TE",$35.00 ,Judd Galaxy (Keaton)
"Gibbs, Jahmyr DET RB",$162.00 ,X Æ A-Xii (Sean)
"Gibson, Antonio WAS RB",$58.00 ,Won't be here after week 1 (Danny H)
"Godwin, Chris TBB WR",$86.00 ,S3XY 420 69 (Ted)
"Goedert, Dallas PHI TE",$110.00 ,Spencer Wareo (Matt)
"Goff, Jared DET QB",$204.00 ,Musk taps Zuck (Kirk)
"Gordon, Melvin BAL RB",$3.00 ,X Æ A-Xii (Sean)
"Granson, Kylen IND TE",$1.00 ,Henry VIII (Dan S)
"Gray, Noah KCC TE",$32.00 ,The Josh Dobbs Invitational Roster (Andy)
"Hall, Breece NYJ RB",$103.00 ,Xecutioner (Rob)
"Ham, C.J. MIN RB",$1.00 ,Musk taps Zuck (Kirk)
"Hardman, Mecole NYJ WR",$10.00 ,Just Ken
"Harris, Damien BUF RB",$38.00 ,Eat the rich
"Harris, Najee PIT RB",$132.00 ,Eat the rich
"Harty, Deonte BUF WR",$6.00 ,The Twits (Shane)
"Haskins, Hassan TEN RB",$1.00 ,Zucker Punch
"Hasty, JaMycal JAC RB",$2.00 ,Spencer Wareo (Matt)
"Heinicke, Taylor ATL QB",$3.00 ,The Twits (Shane)
"Henry, Derrick TEN RB",$170.00 ,Marie Antoinette never actually said “Let Them Eat Cake” (Nick)
"Henry, Hunter NEP TE",$45.00 ,X Æ A-Xii (Sean)
"Herbert, Justin LAC QB",$355.00 ,Ol JVW
"Herbert, Khalil CHI RB",$74.00 ,Just Ken
"Higbee, Tyler LAR TE",$61.00 ,Eat the rich
"Higgins, Tee CIN WR",$151.00 ,Zucker Punch
"Hill, Justice BAL RB",$6.00 ,Henry VIII (Dan S)
"Hill, Taysom NOS TE",$12.00 ,Xecutioner (Rob)
"Hill, Tyreek MIA WR",$188.00 ,Franchise 2 (Pierce)
"Hinton, Kendall FA WR",$1.00 ,Judd Galaxy (Keaton)
"Hockenson, T.J. MIN TE",$140.00 ,We Didn't Start the Fire
"Hodge, KhaDarel ATL WR",$1.00 ,Ol JVW
"Hodgins, Isaiah NYG WR",$7.00 ,Ol JVW
"Hollins, Mack ATL WR",$10.00 ,Xecutioner (Rob)
"Hooper, Austin LVR TE",$15.00 ,That Says Addidas
"Hopkins, DeAndre TEN WR",$57.00 ,Henry VIII (Dan S)
"Howell, Sam WAS QB",$155.00 ,X Marks The Spot (Tom)
"Hubbard, Chuba CAR RB",$14.00 ,Too Many Cooks (Brett)
"Hull, Evan IND RB",$5.00 ,Too Many Cooks (Brett)
"Hunt, Kareem CLE RB",$25.00 ,Just Ken
"Huntley, Tyler BAL QB",$3.00 ,Musk taps Zuck (Kirk)
"Hurst, Hayden CAR TE",$13.00 ,Won't be here after week 1 (Danny H)
"Hurts, Jalen PHI QB",$390.00 ,X Æ A-Xii (Sean)
"Hutchinson, Xavier HOU WR",$1.00 ,Marie Antoinette never actually said “Let Them Eat Cake” (Nick)
"Ingram, Keaontay ARI RB",$8.00 ,Eat the rich
"Iosivas, Andrei CIN WR",$3.00 ,Solyan FC (Stephen)
"Irwin, Trenton CIN WR",$1.00 ,Zucker Punch
"Jackson, Deon FA RB",$4.00 ,Won't be here after week 1 (Danny H)
"Jackson, Lamar BAL QB",$426.00 ,Just Ken
"Jacobs, Josh LVR RB",$137.00 ,Xecutioner (Rob)
"James, Richie KCC WR",$5.00 ,X Marks The Spot (Tom)
"Jefferson, Justin MIN WR",$252.00 ,Won't be here after week 1 (Danny H)
"Jefferson, Van LAR WR",$33.00 ,Spencer Wareo (Matt)
"Jennings, Jauan SFO WR",$2.00 ,S3XY 420 69 (Ted)
"Jeudy, Jerry DEN WR",$100.00 ,The Twits (Shane)
"Johnson, Diontae PIT WR",$75.00 ,Too Many Cooks (Brett)
"Johnson, Juwan NOS TE",$30.00 ,Eat the rich
"Johnson, Roschon CHI RB",$16.00 ,We Didn't Start the Fire
"Johnston, Quentin LAC WR",$35.00 ,Eat the rich
"Jones, Aaron GBP RB",$120.00 ,We Didn't Start the Fire
"Jones, Charlie CIN WR",$1.00 ,The Twits (Shane)
"Jones, Daniel NYG QB",$206.00 ,Zucker Punch
"Jones, Mac NEP QB",$128.00 ,The Twits (Shane)
"Jones, Marvin DET WR",$12.00 ,Elon-gate your neck on the block (Jamie)
"Jones, Velus CHI WR",$2.00 ,Judd Galaxy (Keaton)
"Jones, Zay JAC WR",$40.00 ,Xecutioner (Rob)
"Juszczyk, Kyle SFO RB",$1.00 ,Ol JVW
"Kamara, Alvin NOS RB",$44.00 ,Henry VIII (Dan S)
"Kelce, Travis KCC TE",$275.00 ,Too Many Cooks (Brett)
"Kelley, Joshua LAC RB",$2.00 ,Spencer Wareo (Matt)
"Kincaid, Dalton BUF TE",$60.00 ,Elon-gate your neck on the block (Jamie)
"Kirk, Christian JAC WR",$101.00 ,X Marks The Spot (Tom)
"Kittle, George SFO TE",$170.00 ,Marie Antoinette never actually said “Let Them Eat Cake” (Nick)
"Kmet, Cole CHI TE",$30.00 ,We Didn't Start the Fire
"Knight, Zonovan DET RB",$5.00 ,The Josh Dobbs Invitational Roster (Andy)
"Knox, Dawson BUF TE",$53.00 ,Marie Antoinette never actually said “Let Them Eat Cake” (Nick)
"Kupp, Cooper LAR WR",$205.00 ,Henry VIII (Dan S)
"LaPorta, Sam DET TE",$69.00 ,Elon-gate your neck on the block (Jamie)
"Lamb, CeeDee DAL WR",$175.00 ,Musk taps Zuck (Kirk)
"Lance, Trey DAL QB",$22.00 ,X Æ A-Xii (Sean)
"Lawrence, Trevor JAC QB",$301.00 ,Elon-gate your neck on the block (Jamie)
"Lazard, Allen NYJ WR",$35.00 ,Xecutioner (Rob)
"Levis, Will TEN QB",$5.00 ,Zucker Punch
"Likely, Isaiah BAL TE",$13.00 ,Eat the rich
"Lockett, Tyler SEA WR",$70.00 ,Elon-gate your neck on the block (Jamie)
"London, Drake ATL WR",$132.00 ,X Marks The Spot (Tom)
"Love, Jordan GBP QB",$180.00 ,Solyan FC (Stephen)
"Mahomes, Patrick KCC QB",$401.00 ,Judd Galaxy (Keaton)
"Marshall, Terrace CAR WR",$10.00 ,Franchise 2 (Pierce)
"Mason, Jordan SFO RB",$1.00 ,Franchise 2 (Pierce)
"Mattison, Alexander MIN RB",$100.00 ,The Josh Dobbs Invitational Roster (Andy)
"Mayer, Michael LVR TE",$42.00 ,S3XY 420 69 (Ted)
"Mayfield, Baker TBB QB",$78.00 ,Won't be here after week 1 (Danny H)
"McBride, DeWayne FA RB",$2.00 ,Musk taps Zuck (Kirk)
"McBride, Trey ARI TE",$8.00 ,Franchise 2 (Pierce)
"McCaffrey, Christian SFO RB",$221.00 ,S3XY 420 69 (Ted)
"McCoy, Colt FA QB",$21.00 ,Franchise 2 (Pierce)
"McKenzie, Isaiah IND WR",$7.00 ,Just Ken
"McKinnon, Jerick KCC RB",$53.00 ,Just Ken
"McLaurin, Terry WAS WR",$122.00 ,Marie Antoinette never actually said “Let Them Eat Cake” (Nick)
"Metcalf, DK SEA WR",$142.00 ,Zucker Punch
"Metchie, John HOU WR",$20.00 ,Too Many Cooks (Brett)
"Meyers, Jakobi LVR WR",$32.00 ,Judd Galaxy (Keaton)
"Miller, Kendre NOS RB",$8.00 ,Marie Antoinette never actually said “Let Them Eat Cake” (Nick)
"Mills, Davis HOU QB",$10.00 ,Too Many Cooks (Brett)
"Mims, Marvin DEN WR",$25.00 ,Spencer Wareo (Matt)
"Mingo, Jonathan CAR WR",$43.00 ,Eat the rich
"Minshew, Gardner IND QB",$20.00 ,Just Ken
"Mitchell, Elijah SFO RB",$36.00 ,S3XY 420 69 (Ted)
"Mixon, Joe CIN RB",$124.00 ,Henry VIII (Dan S)
"Montgomery, David DET RB",$109.00 ,Solyan FC (Stephen)
"Montgomery, Ty NEP RB",$5.00 ,Too Many Cooks (Brett)
"Mooney, Darnell CHI WR",$35.00 ,Xecutioner (Rob)
"Moore, Chris TEN WR",$1.00 ,Franchise 2 (Pierce)
"Moore, D.J. CHI WR",$71.00 ,That Says Addidas
"Moore, Elijah CLE WR",$34.00 ,Spencer Wareo (Matt)
"Moore, Rondale ARI WR",$21.00 ,Spencer Wareo (Matt)
"Moore, Skyy KCC WR",$43.00 ,S3XY 420 69 (Ted)
"Moreau, Foster NOS TE",$1.00 ,Zucker Punch
"Moss, Zack IND RB",$4.00 ,X Æ A-Xii (Sean)
"Mostert, Raheem MIA RB",$30.00 ,Elon-gate your neck on the block (Jamie)
"Murray, Kyler ARI QB",$64.00 ,The Josh Dobbs Invitational Roster (Andy)
"Murray, Latavius BUF RB",$10.00 ,Elon-gate your neck on the block (Jamie)
"Musgrave, Luke GBP TE",$15.00 ,Eat the rich
"Nacua, Puka LAR WR",$9.00 ,Solyan FC (Stephen)
"Njoku, David CLE TE",$96.00 ,Solyan FC (Stephen)
"Nwangwu, Kene MIN RB",$1.00 ,Judd Galaxy (Keaton)
"Ogunbowale, Dare HOU RB",$1.00 ,Just Ken
"Okonkwo, Chigoziem TEN TE",$50.00 ,The Josh Dobbs Invitational Roster (Andy)
"Okwuegbunam, Albert PHI TE",$1.00 ,X Marks The Spot (Tom)
"Olave, Chris NOS WR",$180.00 ,Solyan FC (Stephen)
"Osborn, K.J. MIN WR",$17.00 ,X Marks The Spot (Tom)
"Otton, Cade TBB TE",$40.00 ,The Josh Dobbs Invitational Roster (Andy)
"Pacheco, Isiah KCC RB",$69.00 ,Marie Antoinette never actually said “Let Them Eat Cake” (Nick)
"Palmer, Josh LAC WR",$9.00 ,We Didn't Start the Fire
"Parham, Donald LAC TE",$3.00 ,Won't be here after week 1 (Danny H)
"Parker, DeVante NEP WR",$41.00 ,Judd Galaxy (Keaton)
"Patterson, Cordarrelle ATL RB",$19.00 ,Xecutioner (Rob)
"Penny, Rashaad PHI RB",$51.00 ,Solyan FC (Stephen)
"Peoples-Jones, Donovan CLE WR",$43.00 ,The Josh Dobbs Invitational Roster (Andy)
"Perine, Samaje DEN RB",$40.00 ,Ol JVW
"Perry, A.T. NOS WR",$5.00 ,Solyan FC (Stephen)
"Pickens, George PIT WR",$52.00 ,Musk taps Zuck (Kirk)
"Pickett, Kenny PIT QB",$166.00 ,Too Many Cooks (Brett)
"Pierce, Alec IND WR",$13.00 ,Elon-gate your neck on the block (Jamie)
"Pierce, Dameon HOU RB",$100.00 ,X Marks The Spot (Tom)
"Pittman, Michael IND WR",$62.00 ,Ol JVW
"Pitts, Kyle ATL TE",$101.00 ,Zucker Punch
"Pollard, Tony DAL RB",$160.00 ,Franchise 2 (Pierce)
"Prescott, Dak DAL QB",$222.00 ,We Didn't Start the Fire
"Prince, Deneric FA RB",$5.00 ,Spencer Wareo (Matt)
"Purdy, Brock SFO QB",$155.00 ,Spencer Wareo (Matt)
"Raymond, Kalif DET WR",$1.00 ,That Says Addidas
"Reed, Jayden GBP WR",$17.00 ,We Didn't Start the Fire
"Renfrow, Hunter LVR WR",$10.00 ,Just Ken
"Reynolds, Craig DET RB",$1.00 ,Judd Galaxy (Keaton)
"Reynolds, Josh DET WR",$4.00 ,Henry VIII (Dan S)
"Rice, Rashee KCC WR",$30.00 ,Too Many Cooks (Brett)
"Richardson, Anthony IND QB",$231.00 ,Eat the rich
"Ridder, Desmond ATL QB",$76.00 ,Henry VIII (Dan S)
"Ridley, Calvin JAC WR",$120.00 ,X Marks The Spot (Tom)
"Robinson, Allen PIT WR",$16.00 ,Ol JVW
"Robinson, Bijan ATL RB",$182.00 ,Franchise 2 (Pierce)
"Robinson, Brian WAS RB",$69.00 ,Ol JVW
"Robinson, Demarcus LAR WR",$3.00 ,X Æ A-Xii (Sean)
"Robinson, James FA RB",$2.00 ,Henry VIII (Dan S)
"Robinson, Wan'Dale NYG WR",$8.00 ,X Æ A-Xii (Sean)
"Rodgers, Aaron NYJ QB",$260.00 ,Xecutioner (Rob)
"Ross, Justyn KCC WR",$42.00 ,The Josh Dobbs Invitational Roster (Andy)
"Samuel, Curtis WAS WR",$23.00 ,X Marks The Spot (Tom)
"Samuel, Deebo SFO WR",$115.00 ,We Didn't Start the Fire
"Sanders, Miles CAR RB",$98.00 ,The Twits (Shane)
"Schoonmaker, Luke DAL TE",$8.00 ,Solyan FC (Stephen)
"Schultz, Dalton HOU TE",$35.00 ,Ol JVW
"Scott, Boston PHI RB",$17.00 ,X Æ A-Xii (Sean)
"Shaheed, Rashid NOS WR",$7.00 ,The Twits (Shane)
"Shakir, Khalil BUF WR",$5.00 ,The Josh Dobbs Invitational Roster (Andy)
"Shenault, Laviska CAR WR",$6.00 ,Franchise 2 (Pierce)
"Shepard, Sterling NYG WR",$1.00 ,Henry VIII (Dan S)
"Sherfield, Trent BUF WR",$3.00 ,Musk taps Zuck (Kirk)
"Siemian, Trevor FA QB",$1.00 ,S3XY 420 69 (Ted)
"Singletary, Devin HOU RB",$48.00 ,Too Many Cooks (Brett)
"Skowronek, Ben LAR WR",$5.00 ,Franchise 2 (Pierce)
"Slayton, Darius NYG WR",$21.00 ,Xecutioner (Rob)
"Smith Jr., Irv CIN TE",$40.00 ,Musk taps Zuck (Kirk)
"Smith, DeVonta PHI WR",$142.00 ,We Didn't Start the Fire
"Smith, Geno SEA QB",$252.00 ,Marie Antoinette never actually said “Let Them Eat Cake” (Nick)
"Smith, Jonnu ATL TE",$2.00 ,S3XY 420 69 (Ted)
"Smith, Shi FA WR",$2.00 ,Musk taps Zuck (Kirk)
"Smith, Tre'Quan FA WR",$2.00 ,Franchise 2 (Pierce)
"Smith-Njigba, Jaxon SEA WR",$80.00 ,The Josh Dobbs Invitational Roster (Andy)
"Smith-Schuster, JuJu NEP WR",$32.00 ,Ol JVW
"Smythe, Durham MIA TE",$9.00 ,That Says Addidas
"Spears, Tyjae TEN RB",$19.00 ,Elon-gate your neck on the block (Jamie)
"Spiller, Isaiah LAC RB",$1.00 ,Musk taps Zuck (Kirk)
"St. Brown, Amon-Ra DET WR",$180.00 ,S3XY 420 69 (Ted)
"St. Brown, Equanimeous CHI WR",$5.00 ,X Æ A-Xii (Sean)
"Stafford, Matthew LAR QB",$211.00 ,That Says Addidas
"Stevenson, Rhamondre NEP RB",$146.00 ,Won't be here after week 1 (Danny H)
"Stidham, Jarrett DEN QB",$1.00 ,Musk taps Zuck (Kirk)
"Strong Jr., Pierre CLE RB",$8.00 ,X Marks The Spot (Tom)
"Stroud, C.J. HOU QB",$103.00 ,Too Many Cooks (Brett)
"Sutton, Courtland DEN WR",$50.00 ,The Josh Dobbs Invitational Roster (Andy)
"Swift, D'Andre PHI RB",$103.00 ,X Æ A-Xii (Sean)
"Tagovailoa, Tua MIA QB",$292.00 ,Franchise 2 (Pierce)
"Tannehill, Ryan TEN QB",$151.00 ,Elon-gate your neck on the block (Jamie)
"Taylor, Jonathan IND RB",$140.00 ,Xecutioner (Rob)
"Thielen, Adam CAR WR",$41.00 ,Musk taps Zuck (Kirk)
"Thomas, Logan WAS TE",$9.00 ,Franchise 2 (Pierce)
"Thomas, Michael NOS WR",$31.00 ,Spencer Wareo (Matt)
"Thompkins, Deven TBB WR",$1.00 ,Just Ken
"Thornton, Tyquan NEP WR",$6.00 ,Marie Antoinette never actually said “Let Them Eat Cake” (Nick)
"Tillman, Cedric CLE WR",$4.00 ,Elon-gate your neck on the block (Jamie)
"Tolbert, Jalen DAL WR",$1.00 ,Ol JVW
"Toney, Kadarius KCC WR",$60.00 ,X Marks The Spot (Tom)
"Tonyan, Robert CHI TE",$3.00 ,X Marks The Spot (Tom)
"Trask, Kyle TBB QB",$11.00 ,Marie Antoinette never actually said “Let Them Eat Cake” (Nick)
"Trautman, Adam DEN TE",$3.00 ,Just Ken
"Turner, Cole WAS TE",$1.00 ,Zucker Punch
"Uzomah, C.J. NYJ TE",$5.00 ,Won't be here after week 1 (Danny H)
"Valdes-Scantling, Marquez KCC WR",$30.00 ,X Æ A-Xii (Sean)
"Vaughn, Deuce DAL RB",$13.00 ,Judd Galaxy (Keaton)
"Vaughn, Ke'Shawn TBB RB",$1.00 ,Won't be here after week 1 (Danny H)
"Waddle, Jaylen MIA WR",$177.00 ,X Æ A-Xii (Sean)
"Walker III, Kenneth SEA RB",$75.00 ,Zucker Punch
"Waller, Darren NYG TE",$141.00 ,Too Many Cooks (Brett)
"Warren, Jaylen PIT RB",$22.00 ,Too Many Cooks (Brett)
"Washington, Darnell PIT TE",$6.00 ,We Didn't Start the Fire
"Washington, Parker JAC WR",$1.00 ,Marie Antoinette never actually said “Let Them Eat Cake” (Nick)
"Watkins, Quez PHI WR",$1.00 ,Won't be here after week 1 (Danny H)
"Watson, Christian GBP WR",$96.00 ,Solyan FC (Stephen)
"Watson, Deshaun CLE QB",$272.00 ,Eat the rich
"Watson, Justin KCC WR",$1.00 ,Spencer Wareo (Matt)
"Westbrook-Ikhine, Nick TEN WR",$1.00 ,X Æ A-Xii (Sean)
"White, Rachaad TBB RB",$99.00 ,The Josh Dobbs Invitational Roster (Andy)
"White, Zamir LVR RB",$25.00 ,Solyan FC (Stephen)
"Wilcox, Mitchell CIN TE",$1.00 ,Just Ken
"Williams, Jamaal NOS RB",$47.00 ,That Says Addidas
"Williams, Jameson DET WR",$25.00 ,That Says Addidas
"Williams, Javonte DEN RB",$82.00 ,Henry VIII (Dan S)
"Williams, Kyren LAR RB",$7.00 ,Ol JVW
"Williams, Mike LAC WR",$108.00 ,Zucker Punch
"Williams, Trayveon CIN RB",$1.00 ,S3XY 420 69 (Ted)
"Wilson, Garrett NYJ WR",$151.00 ,Won't be here after week 1 (Danny H)
"Wilson, Jeffery MIA RB",$40.00 ,Elon-gate your neck on the block (Jamie)
"Wilson, Michael ARI WR",$3.00 ,We Didn't Start the Fire
"Wilson, Russell DEN QB",$230.00 ,Henry VIII (Dan S)
"Woods, Jelani IND TE",$20.00 ,Solyan FC (Stephen)
"Woods, Robert HOU WR",$34.00 ,Henry VIII (Dan S)
"Wright, Brock DET TE",$1.00 ,Just Ken
"Young, Bryce CAR QB",$170.00 ,X Marks The Spot (Tom)
"Zaccheaus, Olamide PHI WR",$1.00 ,Ol JVW
"Zappe, Bailey NEP QB",$7.00 ,The Twits (Shane)
